length,t_opt,t_baseline,t_opt_a,t_baseline_a
1024,0.018087,0.058195,1.76630859375e-05,5.68310546875e-05
4096,0.018084,0.186677,4.4150390625e-06,4.5575439453125e-05
16384,0.017147,0.434013,1.04656982421875e-06,2.649005126953125e-05
65536,0.019986,1.741803,3.04962158203125e-07,2.6577804565429687e-05
1,0.024369,0.023163,0.024369,0.023163
4,0.02127,0.020892,0.0053175,0.005223
16,0.023613,0.024554,0.0014758125,0.001534625
64,0.023628,0.02312,0.0003691875,0.00036125
256,0.021518,0.033585,8.40546875e-05,0.00013119140625
1024,0.024512,0.069134,2.39375e-05,6.7513671875e-05
4096,0.024445,0.195338,5.968017578125e-06,4.768994140625e-05
16384,0.023155,0.482403,1.41326904296875e-06,2.944354248046875e-05
65536,0.021223,2.088133,3.238372802734375e-07,3.186238098144531e-05
1,0.017988,0.017711,0.017988,0.017711
4,0.018137,0.017512,0.00453425,0.004378
16,0.024359,0.020418,0.0015224375,0.001276125
64,0.019918,0.024026,0.00031121875,0.00037540625
256,0.024053,0.035831,9.395703125e-05,0.00013996484375
1024,0.019765,0.06137,1.93017578125e-05,5.9931640625e-05
4096,0.028673,0.207959,7.000244140625e-06,5.0771240234375e-05
16384,0.025324,0.498472,1.545654296875e-06,3.042431640625e-05
65536,0.026398,1.95638,4.02801513671875e-07,2.985198974609375e-05
1,0.022734,0.028135,0.022734,0.028135
4,0.024862,0.028854,0.0062155,0.0072135
16,0.018745,0.022238,0.0011715625,0.001389875
64,0.021622,0.022017,0.00033784375,0.000344015625
256,0.034714,0.028162,0.0001356015625,0.0001100078125
1024,0.018989,0.060206,1.85439453125e-05,5.8794921875e-05
4096,0.021501,0.195287,5.249267578125e-06,4.7677490234375e-05
16384,0.019697,0.513647,1.20220947265625e-06,3.135052490234375e-05
65536,0.022053,1.884764,3.365020751953125e-07,2.875921630859375e-05
1,0.018788,0.021406,0.018788,0.021406
4,0.018195,0.018677,0.00454875,0.00466925
16,0.026487,0.029851,0.0016554375,0.0018656875
64,0.022388,0.035524,0.0003498125,0.0005550625
256,0.019392,0.034656,7.575e-05,0.000135375
1024,0.025108,0.064155,2.451953125e-05,6.26513671875e-05
4096,0.018773,0.208692,4.583251953125e-06,5.09501953125e-05
16384,0.017032,0.494339,1.03955078125e-06,3.017205810546875e-05
65536,0.024034,1.833593,3.66729736328125e-07,2.7978408813476563e-05
1,0.016796,0.025265,0.016796,0.025265
4,0.018294,0.018061,0.0045735,0.00451525
16,0.018114,0.022136,0.001132125,0.0013835
64,0.026603,0.024301,0.000415671875,0.000379703125
256,0.029822,0.032768,0.0001164921875,0.000128
1024,0.018262,0.062002,1.7833984375e-05,6.0548828125e-05
4096,0.025619,0.19219,6.254638671875e-06,4.692138671875e-05
16384,0.025073,0.476637,1.53033447265625e-06,2.909161376953125e-05
65536,0.022899,1.818009,3.494110107421875e-07,2.7740615844726562e-05
1,0.019935,0.02227,0.019935,0.02227
4,0.017151,0.021074,0.00428775,0.0052685
16,0.017975,0.019095,0.0011234375,0.0011934375
64,0.021155,0.026633,0.000330546875,0.000416140625
256,0.025347,0.033473,9.901171875e-05,0.00013075390625
1024,0.018409,0.054945,1.79775390625e-05,5.36572265625e-05
4096,0.028579,0.204747,6.977294921875e-06,4.9987060546875e-05
16384,0.026307,0.455324,1.60565185546875e-06,2.7790771484375e-05
65536,0.028206,1.744339,4.30389404296875e-07,2.661650085449219e-05
1,0.020293,0.020033,0.020293,0.020033
4,0.022294,0.020202,0.0055735,0.0050505
16,0.02156,0.018013,0.0013475,0.0011258125
64,0.023199,0.027784,0.000362484375,0.000434125
256,0.021488,0.035307,8.39375e-05,0.00013791796875
1024,0.018293,0.05724,1.78642578125e-05,5.58984375e-05
4096,0.026582,0.195347,6.48974609375e-06,4.7692138671875e-05
16384,0.01831,0.453829,1.1175537109375e-06,2.769952392578125e-05
65536,0.021494,1.79367,3.27972412109375e-07,2.7369232177734376e-05
1,0.016981,0.016622,0.016981,0.016622
4,0.020042,0.019595,0.0050105,0.00489875
16,0.025695,0.019756,0.0016059375,0.00123475
64,0.031453,0.029866,0.000491453125,0.00046665625
256,0.017384,0.03547,6.790625e-05,0.0001385546875
1024,0.016938,0.058368,1.6541015625e-05,5.7e-05
4096,0.022072,0.190877,5.388671875e-06,4.6600830078125e-05
16384,0.02057,0.473295,1.2554931640625e-06,2.888763427734375e-05
65536,0.020721,1.749944,3.161773681640625e-07,2.67020263671875e-05
1,0.021888,0.027617,0.021888,0.027617
4,0.018024,0.0181,0.004506,0.004525
16,0.023969,0.022883,0.0014980625,0.0014301875
64,0.027206,0.021041,0.00042509375,0.000328765625
256,0.035014,0.027004,0.0001367734375,0.000105484375
1024,0.037028,0.06286,3.616015625e-05,6.138671875e-05
4096,0.019419,0.191439,4.740966796875e-06,4.6738037109375e-05
16384,0.025671,0.47079,1.56683349609375e-06,2.87347412109375e-05
65536,0.023872,1.791277,3.642578125e-07,2.7332717895507813e-05
1,0.023627,0.022248,0.023627,0.022248
4,0.018866,0.022321,0.0047165,0.00558025
16,0.01778,0.021464,0.00111125,0.0013415
64,0.023677,0.020325,0.000369953125,0.000317578125
256,0.025584,0.031141,9.99375e-05,0.00012164453125
1024,0.018599,0.063119,1.81630859375e-05,6.16396484375e-05
4096,0.01919,0.198009,4.68505859375e-06,4.8342041015625e-05
16384,0.025324,0.646335,1.545654296875e-06,3.944915771484375e-05
65536,0.022377,1.909412,3.414459228515625e-07,2.913531494140625e-05
1,0.02471,0.026168,0.02471,0.026168
4,0.018198,0.018514,0.0045495,0.0046285
16,0.017714,0.03228,0.001107125,0.0020175
64,0.020362,0.020086,0.00031815625,0.00031384375
256,0.029245,0.032893,0.00011423828125,0.00012848828125
1024,0.029577,0.05947,2.88837890625e-05,5.8076171875e-05
4096,0.020121,0.195016,4.912353515625e-06,4.7611328125e-05
16384,0.024999,0.483753,1.52581787109375e-06,2.952593994140625e-05
65536,0.021639,1.886304,3.301849365234375e-07,2.878271484375e-05
1,0.015728,0.017528,0.015728,0.017528
4,0.016086,0.016654,0.0040215,0.0041635
16,0.020189,0.017519,0.0012618125,0.0010949375
64,0.021306,0.026895,0.00033290625,0.000420234375
256,0.034682,0.026264,0.0001354765625,0.00010259375
1024,0.021454,0.056972,2.0951171875e-05,5.563671875e-05
4096,0.017656,0.200836,4.310546875e-06,4.90322265625e-05
16384,0.028356,0.444678,1.730712890625e-06,2.71409912109375e-05
65536,0.017949,1.808225,2.738800048828125e-07,2.7591323852539062e-05
1,0.016424,0.022759,0.016424,0.022759
4,0.016142,0.017861,0.0040355,0.00446525
16,0.017259,0.017687,0.0010786875,0.0011054375
64,0.016775,0.020642,0.000262109375,0.00032253125
256,0.017085,0.031155,6.673828125e-05,0.00012169921875
1024,0.021842,0.055687,2.1330078125e-05,5.43818359375e-05
4096,0.01642,0.189033,4.0087890625e-06,4.6150634765625e-05
16384,0.016927,0.451257,1.03314208984375e-06,2.754254150390625e-05
65536,0.032245,1.809256,4.920196533203125e-07,2.76070556640625e-05
1,0.023731,0.024862,0.023731,0.024862
4,0.029702,0.017027,0.0074255,0.00425675
16,0.017848,0.022958,0.0011155,0.001434875
64,0.025317,0.019851,0.000395578125,0.000310171875
256,0.024416,0.032438,9.5375e-05,0.0001267109375
1024,0.021491,0.061934,2.09873046875e-05,6.0482421875e-05
4096,0.017001,0.197335,4.150634765625e-06,4.8177490234375e-05
16384,0.017509,0.487133,1.06866455078125e-06,2.973223876953125e-05
65536,0.020725,1.856249,3.162384033203125e-07,2.8324111938476563e-05
1,0.016781,0.018682,0.016781,0.018682
4,0.025434,0.027771,0.0063585,0.00694275
16,0.027174,0.019841,0.001698375,0.0012400625
64,0.032016,0.030834,0.00050025,0.00048178125
256,0.022851,0.030001,8.926171875e-05,0.00011719140625
1024,0.025976,0.060885,2.53671875e-05,5.94580078125e-05
4096,0.019786,0.195035,4.83056640625e-06,4.7615966796875e-05
16384,0.019578,0.500295,1.1949462890625e-06,3.053558349609375e-05
65536,0.01983,1.998701,3.02581787109375e-07,3.0497756958007813e-05
1,0.017657,0.022333,0.017657,0.022333
4,0.030745,0.019567,0.00768625,0.00489175
16,0.024155,0.027337,0.0015096875,0.0017085625
64,0.025288,0.023083,0.000395125,0.000360671875
256,0.018145,0.030748,7.087890625e-05,0.000120109375
1024,0.025897,0.059531,2.52900390625e-05,5.81357421875e-05
4096,0.017616,0.209829,4.30078125e-06,5.1227783203125e-05
16384,0.018624,0.489801,1.13671875e-06,2.989508056640625e-05
65536,0.019592,1.948363,2.989501953125e-07,2.972966003417969e-05
1,0.021547,0.016958,0.021547,0.016958
4,0.026833,0.019149,0.00670825,0.00478725
16,0.025181,0.020481,0.0015738125,0.0012800625
64,0.032362,0.0364,0.00050565625,0.00056875
256,0.027784,0.028643,0.00010853125,0.00011188671875
1024,0.019805,0.058173,1.93408203125e-05,5.68095703125e-05
4096,0.02802,0.217445,6.8408203125e-06,5.3087158203125e-05
16384,0.027914,0.538279,1.7037353515625e-06,3.285394287109375e-05
65536,0.028841,2.04086,4.400787353515625e-07,3.114105224609375e-05
1,0.02524,0.024686,0.02524,0.024686
4,0.017117,0.023262,0.00427925,0.0058155
16,0.017404,0.018388,0.00108775,0.00114925
64,0.020454,0.030479,0.00031959375,0.000476234375
256,0.021448,0.032567,8.378125e-05,0.00012721484375
1024,0.026265,0.059307,2.56494140625e-05,5.79169921875e-05
4096,0.027796,0.219264,6.7861328125e-06,5.353125e-05
16384,0.01927,0.499243,1.1761474609375e-06,3.047137451171875e-05
65536,0.023759,1.866059,3.625335693359375e-07,2.8473800659179686e-05
1,0.020101,0.017477,0.020101,0.017477
4,0.02244,0.016643,0.00561,0.00416075
16,0.026591,0.0205,0.0016619375,0.00128125
64,0.021023,0.027404,0.000328484375,0.0004281875
256,0.017319,0.029118,6.765234375e-05,0.0001137421875
1024,0.029157,0.054356,2.84736328125e-05,5.308203125e-05
4096,0.018379,0.203325,4.487060546875e-06,4.9639892578125e-05
16384,0.019877,0.440571,1.21319580078125e-06,2.689031982421875e-05
65536,0.023746,1.906137,3.62335205078125e-07,2.9085342407226562e-05
1,0.021047,0.022234,0.021047,0.022234
4,0.016605,0.019849,0.00415125,0.00496225
16,0.018863,0.017857,0.0011789375,0.0011160625
64,0.031147,0.027714,0.000486671875,0.00043303125
256,0.020693,0.034048,8.083203125e-05,0.000133
1024,0.034106,0.05637,3.3306640625e-05,5.5048828125e-05
4096,0.023284,0.201401,5.6845703125e-06,4.9170166015625e-05
16384,0.017865,0.478605,1.09039306640625e-06,2.921173095703125e-05
65536,0.02753,2.194096,4.20074462890625e-07,3.3479248046875e-05
1,0.019865,0.022079,0.019865,0.022079
4,0.019506,0.022769,0.0048765,0.00569225
16,0.017469,0.018646,0.0010918125,0.001165375
64,0.01745,0.047462,0.00027265625,0.00074159375
256,0.019428,0.03657,7.5890625e-05,0.0001428515625
1024,0.016915,0.060974,1.65185546875e-05,5.9544921875e-05
4096,0.020103,0.200172,4.907958984375e-06,4.88701171875e-05
16384,0.016396,0.515741,1.000732421875e-06,3.147833251953125e-05
65536,0.020517,1.745477,3.130645751953125e-07,2.663386535644531e-05
1,0.016396,0.017796,0.016396,0.017796
4,0.018701,0.017433,0.00467525,0.00435825
16,0.017102,0.017108,0.001068875,0.00106925
64,0.028328,0.021241,0.000442625,0.000331890625
256,0.023243,0.037251,9.079296875e-05,0.00014551171875
1024,0.024872,0.057611,2.42890625e-05,5.62607421875e-05
4096,0.019691,0.218664,4.807373046875e-06,5.3384765625e-05
16384,0.020816,0.775908,1.2705078125e-06,4.7357666015625e-05
65536,0.032451,2.430356,4.951629638671875e-07,3.708428955078125e-05
1,0.029979,0.028919,0.029979,0.028919
4,0.017912,0.026131,0.004478,0.00653275
16,0.023188,0.025024,0.00144925,0.001564
64,0.027393,0.041895,0.000428015625,0.000654609375
256,0.020027,0.033105,7.823046875e-05,0.00012931640625
1024,0.022421,0.058405,2.18955078125e-05,5.70361328125e-05
4096,0.020162,0.400165,4.92236328125e-06,9.7696533203125e-05
16384,0.029483,0.517073,1.79949951171875e-06,3.155963134765625e-05
65536,0.020298,1.874627,3.09722900390625e-07,2.8604537963867188e-05
1,0.017503,0.021497,0.017503,0.021497
4,0.025954,0.020602,0.0064885,0.0051505
16,0.082931,0.024719,0.0051831875,0.0015449375
64,0.029094,0.026118,0.00045459375,0.00040809375
256,0.039925,0.05731,0.00015595703125,0.0002238671875
1024,0.025743,0.114563,2.51396484375e-05,0.0001118779296875
4096,0.042064,0.335036,1.026953125e-05,8.17958984375e-05
16384,0.023203,0.829257,1.41619873046875e-06,5.061383056640625e-05
65536,0.025832,2.072664,3.941650390625e-07,3.16263427734375e-05
1,0.020521,0.030833,0.020521,0.030833
4,0.02242,0.023195,0.005605,0.00579875
16,0.020031,0.030677,0.0012519375,0.0019173125
64,0.020379,0.020165,0.000318421875,0.000315078125
256,0.027812,0.034131,0.000108640625,0.00013332421875
1024,0.021124,0.071971,2.062890625e-05,7.02841796875e-05
4096,0.02142,0.199477,5.2294921875e-06,4.8700439453125e-05
16384,0.028666,0.627352,1.7496337890625e-06,3.829052734375e-05
65536,0.023475,2.148752,3.582000732421875e-07,3.2787353515625e-05
1,0.017246,0.024722,0.017246,0.024722
4,0.018751,0.028255,0.00468775,0.00706375
16,0.030951,0.023662,0.0019344375,0.001478875
64,0.025953,0.028688,0.000405515625,0.00044825
256,0.025873,0.043614,0.00010106640625,0.0001703671875
1024,0.024206,0.077626,2.3638671875e-05,7.5806640625e-05
4096,0.019384,0.221059,4.732421875e-06,5.3969482421875e-05
16384,0.027128,0.500811,1.65576171875e-06,3.056707763671875e-05
65536,0.02137,2.207046,3.26080322265625e-07,3.3676849365234376e-05
1,0.030248,0.019046,0.030248,0.019046
4,0.031851,0.035749,0.00796275,0.00893725
16,0.024315,0.023717,0.0015196875,0.0014823125
