length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
16,0.006385,0.002833127975463867,0.001199483871459961,0.0003990625,0.0001770704984664917,7.496774196624756e-05
64,0.013644,0.0033097267150878906,0.003515481948852539,0.0002131875,5.171447992324829e-05,5.492940545082092e-05
256,0.047562,0.0037834644317626953,0.015139102935791016,0.0001857890625,1.4779157936573029e-05,5.9137120842933655e-05
1024,0.141248,0.0058705806732177734,0.05124044418334961,0.0001379375,5.732988938689232e-06,5.003949627280235e-05
4096,0.536759,0.014885663986206055,0.2130582332611084,0.000131044677734375,3.6341953091323376e-06,5.201617022976279e-05
16384,2.112861,0.05023694038391113,0.805229902267456,0.00012895880126953126,3.066219505853951e-06,4.914733290206641e-05
65536,8.26392,0.18610525131225586,3.196866989135742,0.000126097412109375,2.8397407731972635e-06,4.878031904809177e-05
1,0.005208,0.002733945846557617,0.000141143798828125,0.005208,0.002733945846557617,0.000141143798828125
4,0.005658,0.0030264854431152344,0.00026726722717285156,0.0014145,0.0007566213607788086,6.681680679321289e-05
16,0.007305,0.0028378963470458984,0.0008761882781982422,0.0004565625,0.00017736852169036865,5.476176738739014e-05
64,0.013444,0.0036690235137939453,0.004113197326660156,0.0002100625,5.7328492403030396e-05,6.426870822906494e-05
256,0.051137,0.0059244632720947266,0.015194892883300781,0.00019975390625,2.3142434656620026e-05,5.935505032539368e-05
1024,0.144736,0.00826716423034668,0.05828523635864258,0.00014134375,8.07340256869793e-06,5.691917613148689e-05
4096,0.568125,0.025901079177856445,0.23557162284851074,0.000138702392578125,6.323505658656359e-06,5.751260323449969e-05
16384,2.230253,0.09342670440673828,0.8602542877197266,0.00013612384033203124,5.7023135013878345e-06,5.250575486570597e-05
65536,8.600562,0.33216238021850586,3.49609637260437,0.00013123416137695313,5.0683956942521036e-06,5.334619709174149e-05
1,0.004051,0.002813577651977539,9.083747863769531e-05,0.004051,0.002813577651977539,9.083747863769531e-05
4,0.005075,0.0027971267700195312,0.0003311634063720703,0.00126875,0.0006992816925048828,8.279085159301758e-05
16,0.007019,0.0030281543731689453,0.0013461112976074219,0.0004386875,0.00018925964832305908,8.413195610046387e-05
64,0.013776,0.003922462463378906,0.00391697883605957,0.00021525,6.128847599029541e-05,6.120279431343079e-05
256,0.042552,0.005382537841796875,0.01633143424987793,0.00016621875,2.1025538444519043e-05,6.379466503858566e-05
1024,0.155356,0.01727437973022461,0.06109428405761719,0.00015171484375,1.686951145529747e-05,5.9662386775016785e-05
4096,0.568263,0.05948066711425781,0.23915815353393555,0.000138736083984375,1.4521647244691849e-05,5.838822107762098e-05
16384,2.150392,0.2011556625366211,0.8782501220703125,0.00013124951171875,1.227756729349494e-05,5.36041334271431e-05
65536,8.614288,0.8536374568939209,3.3884410858154297,0.000131443603515625,1.3025473890593275e-05,5.17035077791661e-05
1,0.005678,0.0029125213623046875,0.0001327991485595703,0.005678,0.0029125213623046875,0.0001327991485595703
4,0.004762,0.0029370784759521484,0.00031638145446777344,0.0011905,0.0007342696189880371,7.909536361694336e-05
16,0.008348,0.0033216476440429688,0.001085519790649414,0.00052175,0.00020760297775268555,6.784498691558838e-05
64,0.01414,0.002933502197265625,0.004725933074951172,0.0002209375,4.583597183227539e-05,7.384270429611206e-05
256,0.043856,0.00466465950012207,0.015501022338867188,0.0001713125,1.8221326172351837e-05,6.055086851119995e-05
1024,0.15286,0.008123397827148438,0.05641365051269531,0.00014927734375,7.933005690574646e-06,5.5091455578804016e-05
4096,0.574537,0.02329564094543457,0.24818110466003418,0.000140267822265625,5.687412340193987e-06,6.059109000489116e-05
16384,2.13649,0.08053159713745117,0.878401517868042,0.0001304010009765625,4.915258614346385e-06,5.361337389331311e-05
65536,8.926327,0.32342052459716797,3.3903350830078125,0.00013620494079589845,4.935005563311279e-06,5.173240788280964e-05
1,0.004047,0.0033097267150878906,7.700920104980469e-05,0.004047,0.0033097267150878906,7.700920104980469e-05
4,0.004583,0.0027914047241210938,0.00020575523376464844,0.00114575,0.0006978511810302734,5.143880844116211e-05
16,0.00727,0.0026705265045166016,0.0010080337524414062,0.000454375,0.0001669079065322876,6.300210952758789e-05
64,0.013194,0.0028328895568847656,0.003204822540283203,0.00020615625,4.426389932632446e-05,5.007535219192505e-05
256,0.042581,0.003892660140991211,0.014294624328613281,0.00016633203125,1.5205703675746918e-05,5.583837628364563e-05
1024,0.15089,0.006339073181152344,0.056092262268066406,0.000147353515625,6.190501153469086e-06,5.47775998711586e-05
4096,0.549346,0.018827199935913086,0.22373032569885254,0.00013411767578125,4.596484359353781e-06,5.462166154757142e-05
16384,2.149909,0.053936004638671875,0.8518493175506592,0.00013122003173828125,3.2919924706220627e-06,5.199275619816035e-05
65536,8.41434,0.21517157554626465,3.168779134750366,0.00012839263916015624,3.2832576835062355e-06,4.83517324028071e-05
1,0.004615,0.0026407241821289062,7.677078247070312e-05,0.004615,0.0026407241821289062,7.677078247070312e-05
4,0.005561,0.0027942657470703125,0.00023674964904785156,0.00139025,0.0006985664367675781,5.918741226196289e-05
16,0.006383,0.0027799606323242188,0.000919342041015625,0.0003989375,0.00017374753952026367,5.745887756347656e-05
64,0.014778,0.0033049583435058594,0.0034835338592529297,0.00023090625,5.163997411727905e-05,5.4430216550827026e-05
256,0.049622,0.0049228668212890625,0.015544891357421875,0.0001938359375,1.92299485206604e-05,6.07222318649292e-05
1024,0.151954,0.009326934814453125,0.052584171295166016,0.000148392578125,9.10833477973938e-06,5.135172978043556e-05
4096,0.573026,0.040639638900756836,0.22583627700805664,0.00013989892578125,9.921786841005087e-06,5.513580981642008e-05
16384,2.131665,0.15053129196166992,0.8140406608581543,0.00013010650634765625,9.187700925394893e-06,4.9685098929330707e-05
65536,8.504013,0.6453907489776611,3.1352081298828125,0.00012976094055175782,9.847881301539019e-06,4.783947952091694e-05
1,0.004378,0.002644062042236328,0.00010919570922851562,0.004378,0.002644062042236328,0.00010919570922851562
4,0.00457,0.0026175975799560547,0.00023412704467773438,0.0011425,0.0006543993949890137,5.8531761169433594e-05
16,0.006502,0.002671957015991211,0.0012004375457763672,0.000406375,0.00016699731349945068,7.502734661102295e-05
64,0.013426,0.002892732620239258,0.004179239273071289,0.00020978125,4.51989471912384e-05,6.530061364173889e-05
256,0.050952,0.004955768585205078,0.019548416137695312,0.00019903125,1.9358471035957336e-05,7.636100053787231e-05
1024,0.151196,0.007748126983642578,0.058444976806640625,0.00014765234375,7.566530257463455e-06,5.7075172662734985e-05
4096,0.531499,0.02585887908935547,0.24274992942810059,0.000129760498046875,6.313202902674675e-06,5.926511948928237e-05
16384,2.185487,0.06707501411437988,0.8659892082214355,0.00013339154052734376,4.0939339669421315e-06,5.28557866346091e-05
65536,8.445765,0.2717428207397461,3.2810981273651123,0.0001288721466064453,4.146466380916536e-06,5.006558421882801e-05
1,0.004858,0.003006458282470703,0.00010061264038085938,0.004858,0.003006458282470703,0.00010061264038085938
4,0.004279,0.0026857852935791016,0.0003483295440673828,0.00106975,0.0006714463233947754,8.70823860168457e-05
16,0.008236,0.0031960010528564453,0.0010797977447509766,0.00051475,0.00019975006580352783,6.748735904693604e-05
64,0.013922,0.0036950111389160156,0.003445863723754883,0.00021753125,5.7734549045562744e-05,5.3841620683670044e-05
256,0.044085,0.004251718521118164,0.016046524047851562,0.00017220703125,1.660827547311783e-05,6.268173456192017e-05
1024,0.151712,0.00864410400390625,0.06080484390258789,0.00014815625,8.441507816314697e-06,5.937973037362099e-05
4096,0.549207,0.02682971954345703,0.22761130332946777,0.000134083740234375,6.550224497914314e-06,5.556916585192084e-05
16384,2.171104,0.08495593070983887,0.8703899383544922,0.000132513671875,5.185298505239189e-06,5.31243858858943e-05
65536,8.706429,0.386455774307251,3.4087867736816406,0.0001328495635986328,5.89684714213945e-06,5.201395833864808e-05
1,0.004699,0.0027589797973632812,8.440017700195312e-05,0.004699,0.0027589797973632812,8.440017700195312e-05
4,0.004415,0.0029325485229492188,0.0003342628479003906,0.00110375,0.0007331371307373047,8.356571197509766e-05
16,0.006244,0.0034792423248291016,0.0008335113525390625,0.00039025,0.00021745264530181885,5.2094459533691406e-05
64,0.014889,0.0038993358612060547,0.0037789344787597656,0.000232640625,6.0927122831344604e-05,5.904585123062134e-05
256,0.051199,0.011081695556640625,0.020125389099121094,0.00019999609375,4.328787326812744e-05,7.861480116844177e-05
1024,0.174167,0.02496051788330078,0.061205148696899414,0.0001700849609375,2.437550574541092e-05,5.9770653024315834e-05
4096,0.670754,0.10493111610412598,0.2274925708770752,0.00016375830078125,2.561794826760888e-05,5.5540178436785936e-05
16384,2.371168,0.3619565963745117,0.8439323902130127,0.000144724609375,2.2092077415436506e-05,5.15095453010872e-05
65536,9.780082,1.8192415237426758,3.274564027786255,0.00014923220825195313,2.7759422664530575e-05,4.996588177164085e-05
